Windfarm Id,Name,OtherNames,Country Name,Windfarm Status,Round/Category,Region,Comments,Website,Most Recent Lifecycle Event,Offshore Construction Starts,Submit Consent Application,Financial Close,First Power,Estimated COD,COD,Owners,Developers,Operators,Capacity MW (Max),Num Turbines (Max),Total # of Turbines,Turbine Description,# of Turbine 1,Turbine 1 OEM,Turbine 1 Model,Turbine 1 Estimated,Turbine 1 Drive Train,Turbine 1 Capacity MW,TotalTurbine 1 HeightM,HubHeight 1 M,RotorDiam 1 M,# of Turbine 2,Turbine 2 OEM ,Turbine 2 Model,Turbine 2 Estimated,Turbine 2 Drive Train,Turbine 2 Capacity MW,TotalTurbine 2 Height,HubHeight 2 ,RotorDiam 2 M,Others,Foundation Description,Total # of Foundations,# of Foundation 1,FoundationType 1,Foundation Tech 1,# of Foundation 2,Foundation Type 2,Foundation Tech 2,Foundation Comments,CAPEX,ProjectCost Mill,ProjectCost Currency,WaterDepthM (Min),WaterDepthM (Max),DevDepthM (Min),DevDepthM (Max),DistanceFrom ShoreQuoted,DistanceFrom ShoreAuto,WindSpeed1m (m/s),AreaSqKm,Lat,Lon,Sea Name,GeoRegion,Estimated Location,Installation Base,Ops and Maintenance,NumOffshore Substations,SharedPlatformType,GridConnection Point,LandingPoint,AC_NumCables,AC_AverageLengthCableKm,AC_AdditionalRequirementsKm,AC_NominalVoltageKV,AC_MaximumVoltageKV,AC_SectionMM2,DC_NumCables,DC_AverageLengthCableKm,DC_AdditionalRequirementsKm,DC_NominalVoltageKV,DC_MaximumVoltageKV,DC_SectionMM2,ExportCableComments,CableLengthKm,NominalVoltageKV_A,MaximumVoltageKV_A,SectionMM2_A,Comments_A,Num Cables,AverageLengthCableKm_O,Comments_O,ExpectedLife Years
BE11,Belwind Alstom Haliade Demonstration,,Belgium,Installed,,Vlaanderen,"The turbine was installed within the extent of Belwind 2's location. It was the largest offshore wind turbine installed in sea waters at the time and had a 15% better yield than previous existing offshore wind turbines. This increased efficiency could supply power to the equivalent of around 5,000 households.",http://www.alstom.com/products-services/product-catalogue/power-generation/renewable-energy/wind-power/offshore-wind-turbines/haliade-150-6mw-offshore-wind-turbine/,"30 Oct 2014: Jan De Nul's vessel Simon Stevin completed the installation of the cable from the Haliade turbine to the substation. The scope involved 1,952m of array cable, CPU installation, post-trenching and scour protection.",2-Jan-13,,,2014,0,2014,Alstom Belgium Power NV,"Alstom Belgium Power NV,Lydian",Belwind NV,6,1,1,Haliade 150-6MW (GE Energy),1,GE Energy,Haliade 150-6MW,,Direct Drive,6,,,150,,,,,,,,,,,Grounded: Jacket (Piled),1,,Grounded,Jacket,,,,OWEC Quattro jacket.  61m high  Weight of turbine and jacket = 1500t.,,,,30,30,33.72,33.72,,45,10.16,,51.688,2.836,North Sea,Europe,NO,Oostende,Oostende,0,,The turbine connects to Belwind 1's substation,,,,,,,,,,,,,,The turbine connects to Belwind Phase 1 Substation.,1.8,33,,,,,,,
BE08,Nobelwind,"Belwind Phase 2, Zone 3  Bligh Bank 2",Belgium,Installed,Concession identified through decree of May 2004,Vlaanderen,"Area concession granted in June 2007.   Permit granted in February 2008.  Project to receive revenues under the previous subsidy regime of fixed tariffs.  Revenues via Renewable Energy Certificate sold to Elia for 20 years at €95.25/MWh on top of the wholesale electricity price.  Despite reaching financial close after the deadline for the new LCOE mechanism at a CfD of €138/MWh, the project qualifies under the old certificate mechanism because it is part of the original Belwind concession that has already reached financial close.",http://nobelwind.eu/,"24 May 2017: Inauguration of the Nobelwind project took place, celebrating successful deployment of the 50 V112-3.3MW turbines.",11-May-16,1-Jun-06,6-Oct-15,2017,0,2017,"Meewind,Parkwind NV,Sumitomo Corporation (????) Europe Holding Limited",Nobelwind,,165,50,50,V112-3.3 MW Offshore (Vestas),,Vestas,V112-3.3 MW Offshore,,Geared,3.3,135,79,112,,,,,,,,,,,Grounded: Monopile,50,,Grounded,Monopile,,,,"Nobelwind will be using a bolted connection instead of the normal grouted connection. The main advantages are they are easier to model and analyse as well as certification being more straightforward.  Monopile weight 800t, length 76.4m and 6.8 diameter.",EUR 655m,EUR,655,20,33,26,38,47,43,10.16,22.33,51.664,2.817,North Sea,Europe,NO,Oostende- REBO site,Oostende,1,,Zeebrugge (Elia 150 kV station),Will be connected to the Northwind project (220KV) with additional redundancy coupling to Belwind 1 at 33kV.,1,14,0.7,220,,220,,,,,,,"The export cable will connect to Northwind's OHVS, then to Zeebruge/Stevin. The length refers to the cable from Nobelwind OHVS to Northwind OHVS. Nobelwind does also have a 700m  33kV redudency cable to BelWind OHVS",50,33,,,,,,,20
BE04,Norther,North Sea Power,Belgium,Under Construction,Concession identified through decree of May 2004,Vlaanderen,Norther decided not to connect to the Belgium Offshore Grid and is creating their own link back to shore.,http://www.norther.be/,01 Feb 2019: Installation of the MHI Vestas V164-8.0MW turbines is expected to begin. Installation activities for the Norther project are expected to complete by the end of Q2 2019 according to an indicative timetable.,5-Aug-18,1-Jan-11,14-Dec-16,2019,1,2019,"Eneco Wind B.V,Elicio nv (formerly Electrawinds NV),Diamond Generating Europe Limited",Norther N.V.,,369.6,44,44,V164-8.0 MW (MHI Vestas Offshore Wind),,MHI Vestas Offshore Wind,V164-8.0 MW,,Geared,8.4,,,164,,,,,,,,,,,Grounded: Monopile,44,,Grounded,Monopile,,,,"Monopile weights are expected to vary between 670-963 tons with a diameter of 7.2-7.6 metres, dependent on the individual WTG location. The average weight and diameter is 795 tons and 7.4 metres, respectively.",JPY 150000m,JPY,150000,13,26,16,33,23,24,10.21,38.41,51.527,3.013,North Sea,Europe,NO,Vlissingen,Ostend,1,,Zeebrugge,Zeebrugge,1,26,,220,,,,,,,,,Norther will connect straight to shore via its own export cable.,70,33,,185-800,,6,2,220kV,
BE12,Northwester 2,Zone 7,Belgium,Financial Close,Concession identified through decree of May 2004,Vlaanderen,,,31 Jan 2019: Jack-up vessel Vole au Vent has started construction work on Northwester 2 in Belgium. The vessel has been booked to install the foundations and transition pieces on the 219MW project. ,31-Jan-19,6-Jul-15,5-Oct-18,2020,1,2020,"Parkwind NV,Summit Tailwind",Northwester NV,,219,23,23,V164-9.5 MW (MHI Vestas Offshore Wind),,MHI Vestas Offshore Wind,V164-9.5 MW,,Geared,9.5,187,105,164,,,,,,,,,,,Grounded: Monopile,23,,Grounded,Monopile,,,,"The monopiles have a diameter of up to 8m, a length of up to 82m, and a weight of up to app. 1000 tonnes. The transition pieces have a diameter of up to 6.8m, a length of app. 20m, and a weight of 189 tonnes.",EUR 695m,EUR,695,24.5,37,25,40,46,48,10.16,11.8,51.687,2.753,North Sea,Europe,NO,Ostend,Ostend,1,HVAC Collector Station,Modular Offshore Grid,Zeebrugge,1,34,,220,,,,,,,,,"Export cable will connect Northwester 2 to Elia's Offshore Switch Yard (OSY), connected to Modular Offshore Grid (MOG). The cable will have state of the art XLPE insulation, and will be supplied by Nexans in one length. It will be manufactured at Halden, Norway.",25,33,,,66kV expected,,,,
BE02,Northwind,"Eldepasco, Zone 2 and Bank Zonder Naam",Belgium,Installed,Concession identified through decree of May 2004,Vlaanderen,Monopile foundations were used following results of ground survey.   Area concession was granted in June 2006. The Belwind 2 project will connect to Northwind before connecting direct to shore.    Zeeland Seaports was acting as loadport for the Northwind (April 2013),http://www.northwindenergy.eu/,30 Jun 2014: The turbine installation was completed in May and a report stated that the project was completed at the end of June.,7-Apr-13,15-May-06,28-Jun-12,2014,0,2014,"Aspiravi Holding NV,Parkwind NV,Sumitomo Corporation (????) Europe Holding Limited",Northwind NV (formerly ELDEPASCO LTD),A&amp;P Wind Services NV,216,72,72,V112-3.0 MW Offshore (MHI Vestas Offshore Wind),,MHI Vestas Offshore Wind,V112-3.0 MW Offshore,,Geared,3,127,71,112,,,,,,,,,,,Grounded: Monopile,72,,Grounded,Monopile,,,,The monopiles have a diameter of 5.2m.,EUR 851m,EUR,851,15.3,23,16,29,37,36,10.21,13.84,51.619,2.902,North Sea,Europe,NO,"Esbjerg, Oostende (project management)",Oostende,1,,Zeebruges/Stevin,Zeebruges,1,42,,245,,265,,,,,,,Diameter of 28 cm and a weight of 120 kg/m,51,36,,,,1,2.1,"220kV, only one cable",
BE13,Poseidon P60 - Mermaid,Floating Power Plant,Belgium,Planning,,Vlaanderen,"Poseidon 60 is a hybrid wind wave device, featuring a 2-2.3MW wind turbine and a 600kW wave energy converter.",http://www.floatingpowerplant.com/,31 Dec 2018: Floating Power Plant A/S are currently targeting deployment of a hybrid P60 device in the Mermaid zone during 2018.,,,,2018,,,Floating Power Plant A/S,Floating Power Plant A/S,,2.3,1,1,TBD,,,,,,2.3,,,,,,,,,,,,,,Floating: Semi-Submersible Platform,1,,Floating,Semi-Submersible,,,,P60 unit,,,,26,27,42,42,50,,10.16,,51.7,2.694,North Sea,Europe,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE14,Post-2020 Tender(s),,Belgium,Development Zone,Post-2020 Tender,Vlaanderen,"According to the Principle Memorandum approved by the Council of Ministers in August 2018 two options are considered for the new offshore wind tender; a single 1.75 GW (221 km2 ) zone, which could vary upwards by 20% (on average 7.9 MW/km²) or two 700 MW zones (110 km2 , 7.9 MW/km²) which would be launched simultaneously. The tender process is anticipated to commence in 2022 with construction beginning in 2024. ",,"31 Dec 2018: An Environmental Impact study for the new zone is scheduled for 2018/19 followed by preliminary site investigation studies such as metocean, environmental, geophysical and geotechnical studies in 2020 and 2021. ",1-Jan-24,,,,,,,,,1750,,0,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,0,,Grounded,,,,,,,,,5.2,42,35,35,25,41,10.15,269.26,51.498,2.462,North Sea,Europe,NO,,,1,HVAC Collector Station,Assumed Modular Offshore Grid 2,,2,15,,220,,,,,,,,,,,,,,,,,,
BE05,Rentel,,Belgium,Under Construction,Concession identified through decree of May 2004,Vlaanderen,,http://www.rentel.be,04 Jan 2019: The Rentel offshore wind farm is the fifth offshore wind farm in Belgium to enter full operations. The total installed capacity in Belgium is now 1.186GW..,24-Jul-17,3-Dec-14,3-Oct-16,2018,1,2019,"Elicio Offshore (formerly Electrawinds Offshore NV),Rent-A-Port Energy n.v.,Otary RS N.V.,Aspiravi Offshore NV,Power@Sea NV,DEME NV,SRIW Environment,Socofe,Z-kracht",Rentel N.V.,,309,42,42,SWT-7.0-154 (Siemens Gamesa),,Siemens Gamesa,SWT-7.0-154,,Direct Drive,7,183,106,154,,,,,,,,,,,Grounded: Monopile,42,,Grounded,Monopile,,,,"Foundation max weight 1250t average weight 1116thornsea, 8m diameter. Transition piece have height of 22m, a diameter of 6m (top) and 7m (bottom) and a total weight of 325kg",EUR 1100m,EUR,1100,23.5,34,22,36,34,32,10.21,23.25,51.591,2.945,North Sea,Europe,NO,REBO-terminal-Ostend,Ostend,1,HVAC Collector Station,Direct to shore (Zeebrugge) in first instance then also via Modular Offshore Grid when available,Zeebrugge,1,40,4.5,220,,,,,,,,,40km cable from Rentel Substation to Zeebrugge.  When the MOG is available Rentel will connect also via a 4.5km 220kV from Rentel Substation to the Modular Offshore Grid (MOG),45,33,,,,,,,20
BE07,Seamade (Mermaid),Zone 7,Belgium,Financial Close,Concession identified through decree of May 2004,Vlaanderen,"Originally SEAL (C0 Power Holdco, Electrawinds, Nuon) and Blue4Power I (Electrabel) were in competition for this zone. During second tender area was contested by THV Mermaid and Northwester  II    Mermaid are planning to install Wave Energy Converters in the project area.  Between 20 - 61MW of WECs are planned.",,11 Dec 2018: Eneco has concluded a long-term power purchase agreement with the other shareholders regarding the supply of the energy.,1-Jun-19,10-Sep-14,3-Dec-18,2020,1,2020,"Eneco Wind Belgium SA,Otary RS N.V.,Electrabel S.A.",Seamade NV,,235,28,28,SG 8.0-167 DD (Siemens Gamesa),28,Siemens Gamesa,SG 8.0-167 DD,,Direct Drive,8.4,192.5,109,167,,,,,,,,,,,Grounded: Monopile,28,,Grounded,Monopile,,,,,,,,26,26,24.4,39.5,54,51,10.16,16.27,51.719,2.739,North Sea,Europe,NO,REBO (Renewable Energy Base Oostende)  ,,1,HVAC Collector Station,Modular Offshore Grid,Zeebrugge,,18.5,,225,,,,,,,,,,,33,,,"Park will use either 66kV or 33kV cabling. 4-6 strings, 60MW per string for 66kV or 9-12 strings, 30MW per string for 33kV.",,,,
BE06,Seamade (SeaStar),Zone 6,Belgium,Financial Close,Concession identified through decree of May 2004,Vlaanderen,"Seastar (Power@Sea, Electrawinds) beat Nieuw project (Econcern) and Blue4Power II (Electrabel) for the concession of the wind farm.    Proposed in concession request was for a project of 246MW (41x 6MW) although this is likely to change as new technology enters the market.",http://www.seastar-wind.be/,11 Dec 2018: Eneco has concluded a long-term power purchase agreement with the other shareholders regarding the supply of the energy.,1-Jun-19,19-Jul-13,3-Dec-18,2020,1,2020,"Eneco Wind Belgium SA,Otary RS N.V.,Electrabel S.A.",Seamade NV,,252,30,30,SG 8.0-167 DD (Siemens Gamesa),30,Siemens Gamesa,SG 8.0-167 DD,,Direct Drive,8.4,192.5,109,167,,,,,,,,,,,Grounded: Monopile,30,,Grounded,Monopile,,,,,,,,20,26.5,22,38,40,39,10.16,18.41,51.634,2.862,North Sea,Europe,NO,REBO (Renewable Energy Base Oostende)  ,,1,HVAC Collector Station,Modular Offshore Grid,Zeebrugge,,6.5,,225,,,,,,,,,,,33,,,66kV expected,,,,
BE01,Thornton Bank phase I,"Zone 1, C-Power",Belgium,Installed,Concession identified through decree of May 2004,Vlaanderen,"Authorisation for project layout in 2 blocks, ground survey finished in September 2004.  Prework ecological monitoring finished in June 2006.  Stated cost if for the first phase only.    The project was financed on a non-recourse basis in May 2007: a Term Loan (Senior Facility) provided 90,286,340 EUR, Contingent Facility (Senior Facility) 11,200,000 EUR and Mezzanine Facility 20,000,000 EUR. Senior facilities were provided by Dexia Bank Belgium, Dexia Crédit Local, Société Générale, Rabobank and KBC while Mezzanine was provided by Rabobank only.",http://www.c-power.be/,12 Mar 2018: Heavy lift vessel Neptune carried out maintenance work on the site.,1-Apr-08,,1-May-07,2009,0,2009,"Socofe,DEME NV,Nuhma,EDF Energies Nouvelles Group,Innogy SE,Societe Regionale d'Investissement de Wallonie,Marguerite Fund",C-Power nv,C-Power nv,30,6,6,5M (Senvion),6,Senvion,5M,,Geared,5.075,157,94,126,,,,,,,,,,,Grounded: Gravity-Base,6,,Grounded,Gravity-Base,,,,,EUR 153m,EUR,153,20,20,18,27.5,27,27,10.21,0.43,51.544,2.938,North Sea,Europe,NO,Oostende,Oostende,0,,'Slijkens' Bredene,Bredene,1,38,,150,170,,,,,,,,,4,33,36,,,6,3.3,150kV,
BE09,Thornton Bank phase II,"Zone 1, C-Power 2",Belgium,Installed,Concession identified through decree of May 2004,Vlaanderen,"Phase 2 comprises 6 turbines in Area A (SW Part) and 24 turbines in Area B (NE Part)    Phases 2 and 3 share one export cable and one offshore substation.    The developer, C-Power, has 950EUR loan to finance this phase of the project.  Eneco has announced it will purchase half of all the electricity generated from the project.   The project cost reflects all 3 phases and includes electrical connections.",http://www.c-power.be/,26 Oct 2017: Maintenance work was carried out on turbine A5 by SEA CHALLENGER. ,25-Nov-10,,25-Nov-10,2012,0,2012,"DEME NV,EDF Energies Nouvelles Group,Socofe,Nuhma,Innogy SE,Societe Regionale d'Investissement de Wallonie,Marguerite Fund",C-Power nv,C-Power nv,184.5,30,30,6.2M126 (Senvion),30,Senvion,6.2M126,,Geared,6.15,158,95,126,,,,,,,,,,,Grounded: Jacket (Piled),30,,Grounded,Jacket,,,,The 50 metre tall jacket foundations weigh approximately 550 tonnes each.,EUR 812.5m,EUR,812.5,5.9,20,12,24,27,28,10.21,12.12,51.556,2.969,North Sea,Europe,NO,"Zeebruge (cables), Oostende (turbines)",Oostende,1,,'Slijkens' Bredene,Bredene,1,38.7,,150,170,,,,,,,,3-phase 150kV submarine cable. Thornton Bank Phase II and III share one export cable and substation.,25,33,36,,,2,3,170kV,
BE10,Thornton Bank phase III,"Zone 1, C-Power 2",Belgium,Installed,Concession identified through decree of May 2004,Vlaanderen,Phase 3 comprises 18 turbines in Area A only (SW Part)     Phases 2 and 3 share one export cable and one offshore substation.   The project cost reflects all 3 phases.,http://www.c-power.be/,05 Sep 2016: C-Power announced they will be partnering with Sirris/OWI-Lab and Vrije Universiteit Brussel to monitor the foundation structures at the wind farm. This will enable C-Power to keep track of the ageing process and plan maintenance work in an informed way.,1-Apr-11,,25-Nov-10,2013,0,2013,"DEME NV,EDF Energies Nouvelles Group,Socofe,Nuhma,Innogy SE,Societe Regionale d'Investissement de Wallonie,Marguerite Fund",C-Power nv,C-Power nv,110.7,18,18,6.2M126 (Senvion),18,Senvion,6.2M126,,Geared,6.15,158,95,126,,,,,,,,,,,Grounded: Jacket (Piled),18,,Grounded,Jacket,,,,The 50 metre tall jacket foundations weigh approximately 550 tonnes each.,EUR 487.5m,EUR,487.5,10.2,21.5,12,25.5,26,28,10.21,7.29,51.54,2.922,North Sea,Europe,NO,Oostende,Oostende,0,,'Slijkens' Bredene,Project Shares Phase II's Substation and cable,0,,,,,,,,,,,,NOTE: Thornton Bank Phase II and III share one export cable and substation.,34,33,36,,,2,3,170kV,
BR01,Asa Branca - Pilot Project,,Brazil,Planning,,Cearà,"Due to environmental issues, a floating island may have to be introduced instead of a land based port. Power purchase agreements will be made with large consumers of electricity on the private market (consisting of special consumers, traders and self-generation). The project is awaiting for the Federal Asset Secretariat to sign the usage aggreement.",,23 Sep 2011: Eolica and Offshore Wind Power Systems Texas signed a MoU that gives the two companies one year to sign a contract for foundation use. This MoU was not fulfilled within that year.,,,,,,,Eólica Brasil Ltda,Asa Branca 1,,12,2,2,TBD,,,,,,6,,,,,,,,,,,,,,Grounded: Mobile Jack-Up,2,,Grounded,Tripod,,,,Sea Titan platforms (Offshore Wind Power Systems of Texas).,,,,1,27.8,,,,18,10.46,,-2.692,-39.928,Atlantic Ocean,South America,NO,,,,,,,,,,,,,,,,,,,,,33,,,,,,,
BR05,Asa Branca 4+ - CEMAB 4+,,Brazil,Planning,,Cearà,Project to be implemented in phases (approx 400MW).,,,,,,,,,Eólica Brasil Ltda,Asa Branca 5,,10000,,0,TBD,,,,,,8,,,,,,,,,,,,,,Grounded: Mobile Jack-Up,0,,Grounded,Tripod,,,,Sea Titan platforms (Offshore Wind Power Systems of Texas).,,,,1,27.8,,,,18,10.46,,-2.692,-39.928,Atlantic Ocean,South America,NO,,,,,PECÉM II 230/500 kV,,,,,230,,,,,,,,,,,69,,,,,,,
