"4C OFFSHORE WIND FARMS DATABASE
PROTECTED BY COPYRIGHT - NOT FOR DISTRIBUTION
WWW.4COFFSHORE.COM
DE43,Adlergrund GAP,,Germany,Cancelled,,Exclusive Economic Zone (Baltic-Westlich Adlergrund) (Cluster 1),,,"27 Apr 2018: Lost/didn't enter the 2018 transitional tender, the final opportunity before tendering is allocated centrally.",,,01-Feb-2012,,,,,,,,,BEC Energie Consult,BEC Energie Consult GmbH,,155,,Not Decided,,,,,,5,,31,,,,Grounded: Not Specified,,,,,,Candidate for 2018 WindSeeG tender (EEG 2017),,,,,27.5,30,34,37,36,40.91,8.59,4.66,54.8224,14.1302,Baltic Sea,Europe,NO,,,,,,,,,,220,,,,,,,,,,,,
DE93,Adlergrund Nordkap,,Germany,Cancelled,,Exclusive Economic Zone (Baltic-Westlich Adlergrund) (Cluster 1),,,"08 Jun 2016: The Federal Maritime and Hydrographic Agency (BSH) has received a planning application for project, however the BSH has expressed its intention to not grant any further authorisations until the 16th June 2018 under the extension and amendment of the latest development freeze. Only those projects granted approval according to Section 2 of the Marine Facilities Ordinance (SeeAnIV), or those that have held a hearing for the project's application according to the Marine Facilities Ordinance (SeeAnIV), and located in North Sea Cluster 1-8 or Baltic Sea Cluster 1-3 will be considered for the transitional tender rounds scheduled for 2017 and 2018. A project could also be a contender if it is located in the 12nm zone and has been awarded the final construction permit according to §4 of the Federal Pollution Control Act.
 Therefore the project is not expected to progress in current form, as a central auctioning concept will be used to allocate projects in the future.",,,01-Jun-2013,,,,,,,,,BEC Energie Consult,BEC Energie Consult GmbH,,155,111.6,Not Decided,,,,,3.6,5,,31,,,,Grounded: Not Specified,,,,,,,,,,,36,41,36,41,36,40.17,8.64,7.38,54.8499,14.0623,Baltic Sea,Europe,NO,,,,,Lubmin,Lubmin,,,,220,,,,,,,,,,,,
PL62,AEGIR 4,Licence Application No. 41,Poland,Failed Proposal,,Zachodniopomorskie,,,"14 Feb 2019: Project has most likely been cancelled, as project no longer appears in media, government websites or maps of projects.",,,,,,,,,,,,ENERGA,AEGIR 4 sp. z o.o,,,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,32,42,,,,44.91,8.42,104.28,54.5326,15.0946,Baltic Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
NO50,Aegir Energipark,,Norway,Cancelled,,Sør-Trøndelag,"The project will not go ahead in its current form, although information gathered about the site may be used in future tender round applications.

Fred. Olsen Renewables AS  is planning to produce renewable energy at this site in the Norwegian Sea. The plant will produce power using
renewable resources such as wind and waves. It is not yet decided what specific technology to be used in power generation , but all possibilities for producing marine Renewable energy is kept open . The area will be suitable for both wave power and wind power from floating windmills.",,"01 Jul 2010: Project will not progess, Government intends opening up areas for license applications for the development of offshore wind power.",,,,,,,,,,,,Fred Olsen,Fred. Olsen Renewables Ltd,,1200,,Not Decided,,,,,,,,,,,,Floating: Not Specified,,,,,,,,,,,200,240,,,120,128.16,10.56,331.01,65.0328,8.0476,Norwegian Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
NO15,Ægir Havvindpark,,Norway,Cancelled,,Vest-Agder,"The project will not go ahead in its current form, although information gathered about the site may be used in future tender round applications.",,"01 Jul 2010: Project will not progess, Government intends opening up areas for license applications for the development of offshore wind power.",,,,,,,,,,,,Havgul Nordic,Havgul clean energy AS,,1000,,Not Decided,,,,,,5,,200,,,,Grounded: Jacket (Piled),,,,,,,,,,,53,63,50,63,171.23,171.23,10.25,258.43,56.7137,5.2595,North Sea,Europe,NO,,,,,,,,,,,,,,,,,,,12,2.51,Assume all the cables are in the same trench. Nearest candidate grid connection point chosen,23
US65,Aegir I,,United States,Cancelled,,Michigan,"If the visual issue was not a “deal breaker” for county boards along the West Michigan coast, the company would move forward with a three-year, multimillion-dollar economic and environmental study. Oceana County had to vote by 1st September 2010 as to whether the visual impact is acceptable. The Mason County board voted 9-1 against the wind farm.

After public consultation the developers have decided to redesign the project. The redesign includes a reduction in size, fewer turbines and move the farm 4 miles from the shore. The redesign includes reducing the capacity from 1000MW to 500MW and the number of turbines from 200 to 100.
The project cost includes 2x offshore wind farms and 1x onshore wind farm.",http://www.theaegirproject.com,01 Jan 2015: Construction expected to begin.,,,,,,,,,,,,"Havgul Nordic (50%), Scandia Wind (50%)","Scandia Wind Offshore llc,Havgul clean energy AS",,500,,Not Decided,,,,,,5,,100,,,,Grounded: Gravity-Base,,,USD 4000 million,4000,USD,,,,,,56,174,,,10,21.62,,338.37,43.8878,-86.7237,Lake Michigan,North America,NO,,,,,,,,,,,,,,,,,,,,,,
US70,Aegir II,,United States,Failed Proposal,,Michigan,This second project was included after initial plans for Aegir were reworked due to public resistance of the original Aegir project. The project cost includes 2x offshore wind farms and 1x onshore wind farm.,http://scandiawind.com/Aegirproject.html,01 Jan 2015: Construction expected to begin.,,,,,,,,,,,,"Havgul Nordic (50%), Scandia Wind (50%)","Havgul clean energy AS,Scandia Wind Offshore llc",,500,,Not Decided,,,,,,5,,100,,,,Grounded: Gravity-Base,,,USD 4000 million,4000,USD,,,,,,87,110,,,14,25.01,,408.09,43.0988,-86.598,Lake Michigan,North America,NO,,,,,,,,,,,,,,,,,,,,,,
IT15,Afefa,,Italy,Cancelled,,Sicilia,Sicilian regional government has refused to grant any offshore wind farm permits and Blue H Technologies BV ceased trading in October 2012 therefore cancelling the project.,,10 Oct 2012: blue H Technolgies cease trading.,,,,,,,,,,,,Blue H,Blue H Technologies BV,,700,,Not Decided,,,,,,,,200,,,,Floating: Semi-Submersible Platform - Concrete,,SDP (Submerged Deepwater Platform),,,,,,,,,75,197,,,90,,8.25,,37.4111,11.1789,Mediterranean Sea,Europe,Yes,,,,,,,,,,,,,,,,,,,,,,
DK89,Aflandshage,,Denmark,Concept/Early Planning,Open Door (DK),Hovedstaden,,https://www.hofor.dk/baeredygtige-byer/vindmoeller/havvindmoeller/,01 Jan 2021: Preconstruction phase 2021-2022.,01-Jan-2023,01-Jan-2023,21-Dec-2020,01-Apr-2021,,,01-Jan-2024,2025,250,Low,"One of two projects under development by HOFOR Vind A / S under the Danish Open Door/technology neutral auction scheme. The Danish Energy Agency issued a pre-study permit to HOFOR Vind A / S in March 2019. The license is valid until 31st December 2020 after which HOFOR will prepare and submit an EIA and permit application. Construction is expected to take place from 2023-2024. Uncertainty surrounds the progress of Open Door projects which has been slown to date hence, start year has been pushed back.",HOFOR Hovedstadsområdets Forsyningsselskab,"Københavns Kommune,HOFOR",,250,,Not Decided,,,,,4,10,25,63,,220,,Grounded: Gravity-Base,,"Ground conditions are optimal for gravity base.However, at this stage besides GBF, jacket and monopile are also investigated.",,,,Variable feed-in premium,,,,,10.7,16.2,,,8,11.77,8.93,43.3,55.4331,12.5671,Øresund,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
IE18,AFLOWT (Accelerating market uptake of Floating Offshore Wind Technology),,Ireland,Concept/Early Planning,Demonstrator,Mayo,"A consortium of eight partners plans to develop a full-scale Hexafloat which will be deployed at SEAI's Atlantic Marine Energy Test Site. Although Saipem's Hexafloat has a design capacity of 15 MW, the consortium will use a second-hand wind turbine for this project. Therefore, the capacity of this project is not 15 MW, and the consortium is expecting to use a turbine up to 6 MW.

The turbine is expected to be installed in Test Area A.",,"01 Oct 2020: Update: Based on tender activity, expect an October start.

Surveys, each lasting one month, are planned to take place from May to September 2020 and in 2021 from the vessel Celtic Explorer.

These include:

- Geophysical surveys (multi beam echo sounder [200-400 khz], side scan sonar [100-900 khz], sub bottom profiling [planning to use a Knudsen Chirp 3260 in low frequency: 3.5/12 khz]).

- Geotechnical survey (cone penetration testing - planning to use a Ronson seabed CPT frame with an acoustic USBL beacon, i.e. the MI vessel's IXblue GAP USBL with an operating frequency of 21.5-30.5 khz).

- Ecological survey/environmental sampling (May-August 2020 and 2021, 1 month) -- benthic sampling of the subtidal and intertidal sediment using a standard 20 cm core. 25 random stations from the test area aand 15 from control locations for macrofauna particle size and organic content. Total of 40 subtidal grab stations with a likely further 6 intertidal sediment stations to characterise Belderra Strand (cable landfall location).",01-Jun-2022,01-Jun-2022,31-Jan-2021,,,31-Dec-2022,,2022,5,Medium,"Project received  €31 million of funding from Interreg North West Europe to accelerate the uptake of floating offshore wind. The project is led by the European Marine Energy Centre (EMEC) working in partnership with SEAI, SAIPEM and other organisations in France, Germany, Ireland, the Netherlands, and the UK.",,"EMEC,Saipem,Maritime research Institute Netherlands,ESB,Fraunhofer-Institut für Windenergie und Energiesystemtechnik (IWES),CaLiCyA,University College Cork,Sustainable Energy Authority of Ireland (SEAI)",,6,,Not Decided,,,,,,6,,1,,,,Floating: Semi-Submersible Platform - Steel,1 x Semi-Submersible Platform - Steel,Saipem's Hexafloat will be used for this project. According to Saipem this fouondation is compatible with turbines of up to 15 MW and has the ability to be built at a rate of one per week.,EUR 31.13 million,31.13,EUR,,,,,,50,50,100,,16,2.25,,,54.2297,-10.1469,Atlantic Ocean,Europe,NO,,,,,,,,,,,,,,,,,,,,,Cable landfall location is Belderra Strand.,
GR45,Agios Efstratios,Γ-04380,Greece,Dormant,,Nissia Egeou,"The total size of the project is 98MW, although a large portion of this will be installed onshore. The project is currently under evaluation for a Production Licence by the RAE.",,"14 Jun 2012: The production license was given to two other projects, making this one is now dormant.",,,,,,,,,,,,TERNA ENERGY,ΤΕΡΝΑ ΕΝΕΡΓΕΙΑΚΗ Α.Β.Ε.Τ.Ε.(Translation - TERNA ENERGY S.A.),,24.5,,Not Decided,,,,,,3.5,,7,,,,Grounded: Not Specified,,,,,,,,,,,5,24,,,0.5,29.93,8.33,5.46,39.541,25.0699,Aegean Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
BR29,Águas Claras,Complexo Eólico Marítimo Águas Claras,Brazil,Concept/Early Planning,,Rio Grande do Sul,"Neoenergia (susidiary of Iberdrola) submitted an Environmental Impact Statement (RIMA/EIS) to IBAMA proposing a 3GW offshore wind complex off the coast of Rio de Janeiro.

Based on the submitted EIS, Neoenergia is planning to develop this project in four stages, installing:
- 750 MW of offshore wind capacity;
- 50 units;
- Potential wind turbine capacity: 15 MW;
-21,055 ha per phase + 1,140 ha for the subsea cabling;
- 1 offshore substation;
- 220kV cabling",,06 Jan 2020: Neoenergia submitted an Environmental Impact Statement (Rima) for this project to IBAMA.,,,,,,,,,,,,Iberdrola,Neoenergia,,3000,,Not Decided,,,,,,15,,200,,,,Grounded: Not Specified,,,,,,,,,,,27,52,,,,26.12,,865.63,-29.861,-49.7643,Atlantic Ocean,South America,NO,,,,,,,,,,,,,,,,,,,,,,
TN01,Aicha,,Tunisia,Cancelled,,L'Ariana,Blue H Technologies BV ceased trading in October 2012 and therefore this project has been deemed as cancelled.,,10 Oct 2012: blue H Technolgies cease trading.,,,,,,,,,,,,Blue H,Sky Saver S.R.L.,,,,Not Decided,,,,,,,,,,,,Floating: Semi-Submersible Platform - Concrete,,SDP (Submerged Deepwater Platform),,,,,,,,,,,,,,,8.52,,37.1623,10.5961,Mediterranean Sea,Africa,Yes,,,,,,,,,,,,,,,,,,,,,,
IT12,Aida,,Italy,Cancelled,,Sicilia,Blue H Technologies BV ceased trading in October 2012 and therefore this project has been deemed as cancelled.,,10 Oct 2012: blue H Technolgies cease trading.,,,,,,,,,,,,Blue H,Blue H Technologies BV,,308,,Not Decided,,,,,,,,88,,,,Floating: Semi-Submersible Platform - Concrete,,SDP (Submerged Deepwater Platform),,,,,,,,,120,316,,,22,,7.95,,36.717,14.2173,Mediterranean Sea,Europe,Yes,,,,,,,,,,,,,,,,,,,,,,
DE61,Aiolos,,Germany,Cancelled,,Exclusive Economic Zone 3 (BorWin) (BSH Cluster 11),,http://www.wpd.de/de/geschaeftsfelder/wind-offshore/projektentwicklung/deutschland.html,"08 Jun 2016: The Federal Maritime and Hydrographic Agency (BSH) has received a planning application for Aiolos, however the BSH has expressed its intention to not grant any further authorisations until the 16th June 2018 under the extension and amendment of the latest development freeze. Only those projects granted approval according to Section 2 of the Marine Facilities Ordinance (SeeAnIV), or those that have held a hearing for the project's application according to the Marine Facilities Ordinance (SeeAnIV), and located in North Sea Cluster 1-8 or Baltic Sea Cluster 1-3 will be considered for the tender rounds scheduled for 2017. A project could also be a contender if it is located in the 12nm zone and has been awarded the final construction permit according to §4 of the Federal Pollution Control Act.

Aiolos is located in North Sea Cluster 11 (Zone 3) and may be a future contender for a competitive tender process, in which the current owner will be required to relinquish the project site, in order for the site to be put out to auction. A schedule for rescinding the sites and holding the future tenders has not yet been declared, therefore Aiolos is expected to be dormant until further action is taken by the government.",,,01-Jun-2013,,,,,,,,,WPD,EOS Offshore Aiolos GmbH,,1280,,Not Decided,,,,,,6,,117,,,,Grounded: Not Specified,,,,,,,,,,,37,41,39,41,120,123.09,10.09,,54.7213,6.3708,North Sea,Europe,NO,,,,,Candidate to connect to NOR-11-1 or NOR-11-2,,,,,,,,,,,,,,,,,
JP87,Ajigasawa,鯵ヶ沢洋上風力発電事業,Japan,Concept/Early Planning,Proposed development under the General Sea Law (平成 30 年法律第 89 号),Aomori Prefecture,"Influx Inc plans to develop an offshore wind project off the coast of Ajigasawa Town and Tsugary City, Aomori Prefecture (one out of the eleven promising General Sea areas announced in July 2019).

Currently, the project is at thePlanning Stage of it EIA procedure.

Based on the submitted EIA, up to 45 of 9.5-12 MW units will be deployed. The overall proposed area is assumed to be about 4,785ha. The developers plan to use an offshore substation for this project.",http://influx-ajigasawa.com/index.html#,"06 Dec 2019: The Minister of Environment gave its opinion on the submitted EIA consideration document, suggesting that the developers have to identify the final project area based on the zoning map of Aomori Prefecture as other offshore wind projects are at different EIA stages in this prefecture, and as the overall proposed area affects fishing. The Minister suggested that the developer has to review the existing layout of the proposed project, reducing the environmental impacts on birds and fisheries.",01-Jan-2027,01-Jan-2027,,,,,30-Jun-2030,,,,,Influx,Influx Inc. (INFLUX次世代電力環境資源洋上風力発電株式会社 ),,432,,Rotor diameter: 164-220m; Hub height: 105-138m ; Total turbine height: 190-250m,,,,Rotor diameter: 164-220m; Hub height: 105-138m ; Total turbine height: 190-250m,9.5,12,36,45,250,138,220,Grounded: Not Specified,,Monopile or gravity base,,,,,"Based on the EIA documents, Tohoku Electric Power Co., Inc will buy the generated electricity.",,,,20,,20,50,,6.29,10.21,60.24,40.8473,140.2109,Sea of Japan(East Sea),Asia,NO,,,,,,,,,,,,,,,,,,,,,,
FI25,Ajos,Kemin Ajoksen I and II,Finland,Fully Commissioned,,Lappi,"The Ajos wind farm project is the product of repowering the Kemin Ajoksen I and II sites and the addition of three onshore turbines.

The Ajos wind farm is located off the port of Ajos in Kemi, Finland. The project conisted of 13 units ranging between 3.2MW and 3.3MW. More specificaly, eight 3.3MW units are located on artificial islands and breakwater, whereas five 3.2MW units are on land.",http://www.ox2.com/en/projekt/ajos/,"06 Oct 2017: OX2 has now commissioned and handed over the 42 MW Ajos wind farm to its owner IKEA Finland.
In December 2015, IKEA Finland signed a purchase agreement with OX2 for 13 wind turbines in Kemi, northern Finland. All the terms of the agreement have now been met and IKEA Finland has taken ownership.
OX2 will continue to manage the administration and operation of Ajos wind farm.",17-Jul-2016,17-Jul-2016,,,,30-Sep-2016,06-Oct-2017,2016,26.4,High,"OX2 acquired the 30MW Kemin Ajoksen I and II projects from Innopower and repowered,  adding an additional three onshore turbines. The repowering project is known as Ajos and consist of eight Siemens SWT-130 3.3 MW wind turbines offshore, and a further five Siemens SWT-113 3.2 MW onshore for 42.4 MW in total. OX2 commissioned and handed over the 42 MW Ajos wind farm to its owner IKEA Finland.",IKEA,,OX2,26.4,,"SWT-3.3-130 (Siemens), 8x SWT-3.3MW-130 (offshore) and 5x SWT-3.2MW-113 (onshore)",,,SWT-3.3-130,8x SWT-3.3MW-130 (offshore) and 5x SWT-3.2MW-113 (onshore),,3.3,,8,157.5,92.5,130,Grounded: Artificial Island,8 x Artificial Island,"The articial islands are approximately 30 x 50 metres, and the depth of the water around the islands is around 3-8 metres.",,,,,"Total capacity of the wind farm is 42.4 MW including the 5x SWT-3.2MW-113 onshore turbines, 4C Offshore has given 26.4 MW as capacity to only account for the offshore generation.",,,,,8.3,,,,5.15,8.44,3.15,65.6548,24.5367,Gulf of Bothnia,Europe,NO,Port of Ajos,Port of Ajos,,,,,,,,,,,,,,,,,,,,25
JP66,Akita,秋田洋上風力発電事業,Japan,Concept/Early Planning,Proposed development under the General Sea Law (平成 30 年法律第 89 号),Akita Prefecture,"Japan Wind Development initially aimed to develop a 1.5GW offshore wind farm off the coast of Noshiro City and Oga City, Akita Prefecture. In December 2019, based on the updated EIA file the capaity of the project reduced to 722 MW.

The proposed area is approximately 26,144 ha and based on the submitted method book, the proposed development will use 158 9.5 MW units. It is estimated that the developer will use a typhoon classed unit for their project.

The area is close to important wild bird habitats for ducks and geese, Hachirogata and Kotomonuma.",,16 Jan 2020: The Governor of Akita Prefecture submitted its opinion on the Method book (Scoping stage of the EIA procedure).,01-Apr-2024,01-Apr-2024,,,,01-Aug-2025,,,,,,Japan Wind Development,"Japan Wind Development Co., Ltd - 日本風力開発",,722,,Estimate: V174-9.5 MW (MHI Vestas Offshore Wind),Yes,,V174-9.5 MW,,4,9.5,76,172,,,174,Grounded: Not Specified,,,,,,,,,,,10,,,,4,6.76,9.32,209.82,40.1549,139.9051,Sea of Japan(East Sea),Asia,NO,,,,,,,,,,,,,,,,,,,,,,
JP26,Akita - Kingdom of the Wind Project,"風の王国プロジェクト
風の王国Project
Kingdom of the Wind",Japan,Dormant,,Akita Prefecture,Project hopes to install 1000 turbines offshore,http://kaze-project.jp/,04 Apr 2014: Study session of offshore wind.,,,,,,,,,,,,Akita offshore offshore wind study group,,,2982,,Not Decided,,,,,,7,,426,,,,Grounded: Not Specified,,,,,,,,,,,10,50,20,30,,3.03,9.2,172.83,40.0774,139.9131,Sea of Japan(East Sea),Asia,NO,,,,,TEPCO Kashiwazaki nuclear power plant,,,,,,,,,,,,,,,,,
